,Customer_ID,Age,Location,Income_Level,Total_Transactions,Avg_Transaction_Value,Max_Transaction_Value,Min_Transaction_Value,Total_Spent,Active_Days,Last_Transaction_Days_Ago,Loyalty_Points_Earned,Referral_Count,Cashback_Received,App_Usage_Frequency,Preferred_Payment_Method,Support_Tickets_Raised,Issue_Resolution_Time,Customer_Satisfaction_Score,LTV
0,cust_0000,54,Urban,Low,192,16736.38402319893$,60216.83450988285$,6525.814860765247$,3213385.7324541947,140,209,2114.0,25,2224.012139843342,Monthly,Debit Card,3,61.5685897275328,1,327954.5671754978
1,cust_0001,67,Suburban,High,979,14536.734682848608$,48350.10027249861$,2186.742245256916$,14231463.254508788,229,240,2960.0,20,4026.823517968521,Monthly,UPI,17,60.39288882305327,8,1437052.9136918946
2,cust_0002,44,Urban,High,329,7061.372800216672$,32521.157187328816$,2743.4068078554915$,,73,21,3170.0,0,1441.0113951196197,,Debit Card,11,45.30557864380429,4,241938.6594295687
3,cust_0003,30,Rural,High,71,16426.876453277957$,17827.896720459485$,4360.78499399125$,,299,285,,35,4365.855580278985,,Wallet Balance,6,22.030190573561843,1,128459.895028134
4,cust_0004,58,Urban,Middle,878,10800.09265965521$,17497.634533762135$,4532.872520080136$,9482481.355177276,236,329,1992.0,18,4161.523826857257,Daily,UPI,18,20.63472262811237,5,956951.3736042988
5,cust_0005,23,Rural,Middle,741,6093.162426833666$,21310.858875721973$,2069.6422422669384$,4515033.358283747,195,93,3231.0,5,2597.3933580831044,Daily,UPI,6,17.234536903041597,10,467166.6391493332
6,cust_0006,36,Rural,Low,946,8751.162614596664$,11055.45037444116$,2117.4387456604577$,8278599.833408444,88,255,4123.0,46,3525.2797992637256,Weekly,Wallet Balance,1,11.399603542328885,8,846943.3434412127
7,cust_0007,54,Urban,Low,63,1324.6977189931674$,4742.261440504426$,239.4613423265261$,83455.95629656955,97,162,2513.0,17,4820.140805042069,Daily,Credit Card,13,28.87279519669633,8,20661.52522713592
8,cust_0008,34,Rural,Low,297,18898.72464813077$,93293.2576686205$,8057.842943560303$,,166,303,1861.0,36,2260.2271996373142,Monthly,Credit Card,3,61.779425061299584,10,577484.0084496654
9,cust_0009,38,Urban,High,245,12386.137182863284$,55926.28786909365$,4014.0629902433$,3034603.6098015043,296,252,,7,2471.024373351352,,UPI,10,71.72823524768282,3,308366.8487934748
10,cust_0010,26,Urban,High,519,14627.37055716215$,49201.61382203565$,7240.361620408051$,7591605.319167156,203,265,2313.0,10,3614.01876086908,Daily,UPI,13,50.24522231523789,4,766979.5225362811
11,cust_0011,26,Rural,High,393,13534.901574693333$,61934.44676190483$,3375.5431144247345$,5319216.31885448,187,188,769.0,4,1932.1328032820588,,Debit Card,5,12.086766070246073,10,542893.565483807
12,cust_0012,39,Rural,High,772,13358.322190574405$,19570.91189104325$,4999.855536742623$,10312624.73112344,275,112,3562.0,20,4806.148623403586,Monthly,UPI,2,48.82297666772092,4,1041983.3988006422
13,cust_0013,68,Suburban,Low,601,355.04710008982937$,1000.798478828182$,123.95700776884652$,,20,30,1432.0,39,202.17884943206369,Monthly,Debit Card,15,20.550447528996443,3,31001.24129068272
14,cust_0014,51,Rural,Middle,177,10512.171882899083$,28537.439928939464$,3732.164595258812$,1860654.423273138,73,273,1957.0,42,2016.8894789551807,Weekly,Debit Card,19,51.95204214612175,6,199170.99758783623
15,cust_0015,55,Suburban,Middle,204,16435.987470224427$,38555.3807670406$,6488.796132188245$,3352941.443925783,338,315,2304.0,20,3569.2553352008117,Daily,Credit Card,15,17.776296099375873,3,343117.51672497793
16,cust_0016,39,Rural,High,646,899.9318397178829$,900.6568180919858$,140.06837210180836$,581355.9684577524,361,168,1359.0,19,2146.903129107822,Weekly,UPI,2,12.64861479995202,6,67680.14528122132
17,cust_0017,18,,Middle,594,19123.75202092653$,87283.024002411$,6116.87776097352$,11359508.70043036,310,96,4953.0,41,1296.2430465184416,Weekly,Debit Card,15,46.04765944578506,5,1154308.7485197769
18,cust_0018,37,,Middle,1000,8488.952063289724$,34896.60859485222$,2577.6861527196743$,,82,135,1256.0,8,2067.27078778894,Monthly,UPI,17,49.645737778001546,2,853173.570935078
19,cust_0019,68,,Middle,533,5805.01088610691$,20964.39082664085$,1375.856750405288$,3094070.802294983,296,38,72.0,1,4407.583988023499,Daily,Debit Card,7,14.11881505852776,8,315447.2882354866
20,cust_0020,17,Urban,,911,10641.109019222436$,16130.510000383534$,2920.5599158398886$,9694050.31651164,356,288,1182.0,48,2735.0362627038394,Weekly,Credit Card,9,37.35256947557285,7,982201.513519812
21,cust_0021,39,Urban,Low,128,16026.271614982294$,40271.14440986524$,4928.476464516397$,2051362.7667177336,27,69,482.0,3,1675.550964141666,,Debit Card,2,63.5260936799672,7,212562.5011897025
22,cust_0022,59,Suburban,Low,195,9500.353684755066$,44626.08726620331$,2169.585567476024$,1852568.968527238,141,234,1239.0,25,3357.614920881171,Weekly,Credit Card,13,49.62198567649472,6,194556.0893922832
23,cust_0023,45,Rural,Middle,194,12905.662474961971$,44753.20349031861$,2803.9298225303783$,2503698.5201426228,47,67,2242.0,11,3059.2253046202723,,Wallet Balance,14,48.98749773129381,9,263424.2393619522
